Designator,Mid X,Mid Y,Rotation,Layer
R39,103.2674,-77.09,180.0,bottom
R4,89.6,-114.6,180.0,top
R40,91.462601,-73.593415,0.0,bottom
R41,91.462601,-72.643415,0.0,bottom
R42,91.462601,-71.693415,0.0,bottom
R43,103.26,-78.38,180.0,bottom
R44,95.64,-68.330001,90.0,bottom
R45,96.615,-68.330001,90.0,bottom
R46,94.665,-68.330001,90.0,bottom
R48,72.15,-85.905,0.0,bottom
R49,74.06,-85.915,180.0,bottom
R50,75.97,-85.925,0.0,bottom
R51,77.89,-85.915,180.0,bottom
R52,79.8,-85.925,0.0,bottom
R53,81.71,-85.925,180.0,bottom
R54,103.59,-108.05,180.0,top
R55,101.71,-108.07,0.0,top
R56,84.601,-102.0,270.0,top
R57,85.601,-102.0,270.0,top
R58,102.72,-119.97,0.0,top
R59,93.03,-110.71,270.0,bottom
R6,97.2,-66.4,90.0,top
R61,96.81,-110.71,270.0,bottom
R63,95.87,-110.71,270.0,bottom
R65,94.69,-108.78,90.0,top
R67,99.1,-109.29,0.0,top
R68,94.69,-106.87,90.0,top
R69,108.75,-117.65,90.0,bottom
R7,81.05,-68.25,180.0,top
R70,106.87,-93.22,90.0,top
R71,66.25,-65.9,270.0,top
R72,79.66,-82.5,90.0,bottom
R8,103.1,-62.63,90.0,top
R9,102.1,-62.64,270.0,top
S1,61.6,-103.275,270.0,top
S5,108.385,-122.5625,90.0,top
TP1,70.2,-109.9,0.0,bottom
TP10,70.0,-95.4,0.0,bottom
TP11,79.0,-113.5,0.0,bottom
TP12,74.3,-113.4,0.0,bottom
TP13,91.1,-65.7,0.0,bottom
TP14,91.5,-64.85,0.0,bottom
TP15,104.7,-63.15,0.0,bottom
TP16,101.5,-108.0,0.0,bottom
TP17,101.5,-109.1,0.0,bottom
TP18,84.0,-99.5,270.0,bottom
TP19,86.3,-99.5,270.0,bottom
TP2,69.3,-107.1,0.0,bottom
TP20,85.2,-99.55,90.0,bottom
TP21,78.555,-101.705,180.0,bottom
TP22,99.49,-105.38,0.0,bottom
TP23,98.0,-65.0,0.0,bottom
TP24,102.55,-65.2,0.0,bottom
TP25,97.68,-108.65,0.0,bottom
TP26,96.03,-108.63,0.0,bottom
TP27,94.6,-108.53,0.0,bottom
TP28,89.6,-119.7,0.0,bottom
TP29,93.84,-108.54,0.0,bottom
TP3,91.9,-65.7,0.0,bottom
TP30,98.46,-108.66,0.0,bottom
TP4,72.0,-107.5,0.0,bottom
TP5,105.7,-78.5,0.0,bottom
TP6,90.0,-73.1,0.0,bottom
TP7,105.8,-93.8,0.0,bottom
TP8,69.3,-106.2,0.0,bottom
TP9,80.3,-96.8,0.0,bottom
U1,68.7,-63.8,270.0,top
U13,87.95,-117.09,0.0,top
U3,75.0,-104.135,270.0,top
U4,97.2674,-96.916585,90.0,top
U5,97.1674,-75.716585,0.0,top
U6,77.6015,-82.505,180.0,bottom
U7,74.54,-82.505,180.0,bottom
U8,99.619,-114.01,270.0,bottom
U9,99.65,-118.32,270.0,bottom
Y1,92.64,-106.79,0.0,top
Y2,97.915,-107.315,90.0,top
